,Station Name,Air Temperature
61,Oak Street Weather Station,20.8
62,Oak Street Weather Station,21.7
63,Foster Weather Station,22.78
64,Oak Street Weather Station,24.0
65,Foster Weather Station,23.28
66,Foster Weather Station,23.78
67,Foster Weather Station,21.89
68,Foster Weather Station,22.28
69,Oak Street Weather Station,24.2
70,Oak Street Weather Station,21.5
71,Foster Weather Station,21.5
72,Foster Weather Station,21.0
73,Foster Weather Station,20.67
74,Oak Street Weather Station,21.7
75,Oak Street Weather Station,21.8
76,Foster Weather Station,20.56
77,Oak Street Weather Station,21.8
78,Foster Weather Station,20.78
79,Oak Street Weather Station,21.7
80,Foster Weather Station,21.0
81,Oak Street Weather Station,20.8
82,Foster Weather Station,20.5
83,Oak Street Weather Station,20.3
84,Foster Weather Station,19.67
85,Oak Street Weather Station,21.6
86,Foster Weather Station,20.78
87,Foster Weather Station,21.5
88,Foster Weather Station,21.78
89,Oak Street Weather Station,22.5
90,Oak Street Weather Station,22.8
91,Foster Weather Station,21.89
92,Oak Street Weather Station,21.9
93,Foster Weather Station,21.06
94,Oak Street Weather Station,23.5
95,Foster Weather Station,20.78
96,Oak Street Weather Station,22.7
97,Foster Weather Station,22.0
98,Oak Street Weather Station,19.1
99,Foster Weather Station,19.28
100,Foster Weather Station,18.17
101,Foster Weather Station,17.28
102,Oak Street Weather Station,21.3
103,Foster Weather Station,18.78
104,Foster Weather Station,17.67
105,Foster Weather Station,18.56
106,Oak Street Weather Station,20.9
107,Oak Street Weather Station,22.2
108,Foster Weather Station,19.39
109,Oak Street Weather Station,20.5
110,Foster Weather Station,19.06
111,Oak Street Weather Station,20.2
112,Foster Weather Station,18.89
113,Oak Street Weather Station,19.9
114,Foster Weather Station,19.0
115,Oak Street Weather Station,19.8
116,Foster Weather Station,18.0
117,Oak Street Weather Station,19.0
118,Foster Weather Station,17.0
119,Foster Weather Station,16.5
120,Oak Street Weather Station,18.1
121,Foster Weather Station,16.5
122,Oak Street Weather Station,20.2
123,Foster Weather Station,16.56
124,Oak Street Weather Station,21.3
125,Foster Weather Station,17.56
126,Oak Street Weather Station,22.5
127,Foster Weather Station,20.56
128,Oak Street Weather Station,23.0
129,Foster Weather Station,22.56
130,Oak Street Weather Station,22.8
131,Foster Weather Station,22.5
132,Oak Street Weather Station,21.8
133,Foster Weather Station,20.56
134,Oak Street Weather Station,20.9
135,Foster Weather Station,17.39
136,Oak Street Weather Station,22.0
137,Foster Weather Station,17.39
138,Oak Street Weather Station,23.6
139,Foster Weather Station,19.06
140,Oak Street Weather Station,24.0
141,Foster Weather Station,17.56
142,Oak Street Weather Station,27.0
143,Foster Weather Station,26.28
144,Oak Street Weather Station,24.7
145,Foster Weather Station,21.06
146,Oak Street Weather Station,11
147,Oak Street Weather Station,12
148,Oak Street Weather Station,14
149,Oak Street Weather Station,12
150,Oak Street Weather Station,15
151,Oak Street Weather Station,16
152,Oak Street Weather Station,14
153,Oak Street Weather Station,16
154,Oak Street Weather Station,17
155,Oak Street Weather Station,15
156,Oak Street Weather Station,14.1
157,Oak Street Weather Station,15
158,Oak Street Weather Station,15.7
159,Oak Street Weather Station,13
160,Foster Weather Station,23.4
161,Foster Weather Station,21.99
162,Foster Weather Station,25.9
163,Foster Weather Station,22.78
164,Foster Weather Station,25.56
165,Foster Weather Station,23.56
166,Foster Weather Station,21.67
167,Foster Weather Station,21.0
168,Foster Weather Station,23.05
169,Foster Weather Station,23.77
170,Foster Weather Station,21.67
171,Foster Weather Station,25.9
172,Foster Weather Station,23.16
173,Foster Weather Station,21.0
174,Foster Weather Station,24.57
175,Foster Weather Station,17.17
176,Foster Weather Station,22.28
177,Foster Weather Station,17.17
178,Foster Weather Station,23.67
179,Foster Weather Station,23.05
180,Foster Weather Station,9.17
181,Foster Weather Station,21.0
182,Foster Weather Station,13.89
183,Foster Weather Station,16.06
184,Foster Weather Station,22.06
185,Foster Weather Station,14.05
186,Foster Weather Station,25.0
187,Foster Weather Station,24.01
188,Foster Weather Station,22.39
189,Foster Weather Station,20.39
190,Foster Weather Station,14.77
191,Foster Weather Station,24.01
192,Foster Weather Station,19.38
193,Foster Weather Station,24.17
194,Foster Weather Station,22.78
195,Foster Weather Station,14.4
196,Foster Weather Station,13.5
197,Foster Weather Station,20.39
198,Foster Weather Station,9.78
199,Foster Weather Station,25.39
200,Foster Weather Station,15.57
201,Foster Weather Station,15.89
202,Foster Weather Station,20.39
203,Foster Weather Station,15.06
204,Foster Weather Station,24.78
205,Foster Weather Station,9.89
206,Foster Weather Station,16.39
207,Foster Weather Station,9.5
208,Foster Weather Station,14.77
209,Foster Weather Station,10.38
210,Foster Weather Station,21.56
211,Foster Weather Station,14.5
212,Foster Weather Station,15.49
213,Foster Weather Station,9.56
214,Foster Weather Station,17.17
215,Foster Weather Station,15.49
216,Foster Weather Station,10.0
217,Foster Weather Station,20.07
218,Foster Weather Station,16.66
219,Foster Weather Station,17.01
220,Foster Weather Station,19.56
221,Foster Weather Station,20.39
222,Foster Weather Station,14.56
223,Foster Weather Station,13.68
224,Foster Weather Station,18.07
225,Foster Weather Station,9.28
226,Foster Weather Station,16.39
227,Foster Weather Station,15.49
228,Foster Weather Station,17.89
229,Foster Weather Station,14.4
230,Foster Weather Station,14.4
231,Foster Weather Station,13.89
232,Foster Weather Station,12.99
233,Foster Weather Station,16.77
234,Foster Weather Station,15.89
235,Foster Weather Station,15.06
236,Oak Street Weather Station,23.9
237,Foster Weather Station,23.89
238,Oak Street Weather Station,23.6
239,Foster Weather Station,20.56
240,Oak Street Weather Station,23.8
241,Foster Weather Station,21.28
242,Oak Street Weather Station,23.6
243,Foster Weather Station,21.28
244,Oak Street Weather Station,27.1
245,Foster Weather Station,26.89
246,Oak Street Weather Station,28.1
247,Foster Weather Station,27.28
248,Oak Street Weather Station,27.1
249,Foster Weather Station,27.0
250,Oak Street Weather Station,27.8
251,Foster Weather Station,27.0
252,Oak Street Weather Station,25.7
253,Foster Weather Station,26.0
254,Oak Street Weather Station,25.2
255,Foster Weather Station,24.78
256,Oak Street Weather Station,24.6
257,Foster Weather Station,24.0
258,Oak Street Weather Station,24.1
259,Foster Weather Station,23.28
260,Oak Street Weather Station,23.6
261,Foster Weather Station,22.89
262,Oak Street Weather Station,23.1
263,Foster Weather Station,22.28
264,Oak Street Weather Station,22.7
265,Foster Weather Station,21.78
266,Oak Street Weather Station,22.2
267,Foster Weather Station,21.28
268,Oak Street Weather Station,21.9
269,Foster Weather Station,21.17
270,Oak Street Weather Station,21.8
271,Foster Weather Station,21.06
272,Oak Street Weather Station,21.3
273,Foster Weather Station,20.67
274,Oak Street Weather Station,21.4
275,Foster Weather Station,20.67
276,Oak Street Weather Station,21.3
277,Foster Weather Station,19.17
278,Oak Street Weather Station,19.7
279,Foster Weather Station,11.89
280,Oak Street Weather Station,11.9
281,Foster Weather Station,10.67
282,Oak Street Weather Station,10.9
283,Foster Weather Station,10.0
284,Oak Street Weather Station,10.1
285,Foster Weather Station,9.17
286,Oak Street Weather Station,9.7
287,Foster Weather Station,8.89
288,Oak Street Weather Station,9.4
289,Foster Weather Station,8.67
290,Oak Street Weather Station,9.2
291,Foster Weather Station,8.28
292,Oak Street Weather Station,8.8
293,Foster Weather Station,7.89
294,Oak Street Weather Station,8.4
295,Foster Weather Station,7.39
296,Oak Street Weather Station,8.9
297,Foster Weather Station,7.78
298,Oak Street Weather Station,9.0
299,Foster Weather Station,7.89
300,Oak Street Weather Station,9.2
301,Foster Weather Station,7.78
302,Oak Street Weather Station,8.6
303,Foster Weather Station,7.78
304,Oak Street Weather Station,8.1
305,Foster Weather Station,7.67
306,Oak Street Weather Station,8.1
307,Foster Weather Station,6.89
308,Oak Street Weather Station,8.2
309,Foster Weather Station,7.67
310,Oak Street Weather Station,7.7
311,Foster Weather Station,6.56
312,Foster Weather Station,7.67
313,Oak Street Weather Station,8.2
314,Foster Weather Station,7.39
315,Oak Street Weather Station,8.1
316,Foster Weather Station,7.17
317,Oak Street Weather Station,8.3
318,Foster Weather Station,6.89
319,Oak Street Weather Station,7.3
320,Foster Weather Station,6.28
321,Oak Street Weather Station,7.4
322,Foster Weather Station,6.17
323,Oak Street Weather Station,7.0
324,Foster Weather Station,6.0
325,Oak Street Weather Station,7.1
326,Foster Weather Station,6.06
327,Oak Street Weather Station,7.5
328,Foster Weather Station,6.28
329,Oak Street Weather Station,7.5
330,Foster Weather Station,6.78
331,Oak Street Weather Station,7.8
332,Foster Weather Station,6.89
333,Oak Street Weather Station,8.3
334,Foster Weather Station,7.39
335,Oak Street Weather Station,8.0
336,Foster Weather Station,7.17
337,Oak Street Weather Station,8.6
338,Foster Weather Station,7.67
339,Oak Street Weather Station,8.9
340,Foster Weather Station,8.0
341,Oak Street Weather Station,9.2
342,Foster Weather Station,7.78
343,Oak Street Weather Station,8.9
344,Foster Weather Station,7.67
345,Oak Street Weather Station,9.3
346,Foster Weather Station,8.5
347,Oak Street Weather Station,9.7
348,Foster Weather Station,8.5
349,Oak Street Weather Station,9.0
350,Foster Weather Station,8.06
351,Oak Street Weather Station,9.1
352,Foster Weather Station,8.28
353,Oak Street Weather Station,9.0
354,Foster Weather Station,8.0
355,Oak Street Weather Station,8.8
356,Foster Weather Station,7.78
357,Oak Street Weather Station,8.6
358,Foster Weather Station,7.78
